offerid	clusterid	size	productname	brand	description	id1	id2	id3	price	currency
abt_46	cluster_22515	8	Asus ROG Zephyrus M GM501 Black Gaming Laptop Computer	ASUS	2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 15.6in FHD (1920x1080) Matte 144Hz 3ms LED Backlit G-SYNC Display/ 256GB NVMe/PCIE SSD + 1TB SSHD (8GB Cache) FireCuda/ 16GB DDR4-2666MHz Memory/ NVIDIA GTX1070 With 8GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1/ HD Web Camera/ Windows 10 Pro 64-Bit/ Black Finish	8.8935E+11			2199	USD
abt_5	cluster_22575	10	Asus Chromebook C202 Dark Blue/Silver Laptop Computer	ASUS	1.60GHz (Turbo Boost Up To 2.48GHz) Intel Core Celeron N3060 Processor/ 11.6 in (1366x768) LED Backlit Display/ 16GB eMMC Storage/ 4GB DDR3L 1066 MHz SDRAM Memory/ Bluetooth 4.2/ HD Webcam/ 802.11ac/ Chrome OS/ Dark Blue And Silver Finish	8.89349E+11			229	USD
abt_54	cluster_22520	18	Lenovo ThinkPad E480 Black Laptop Computer	Lenovo	2.30GHz Intel Core i37020U Processor/ 14in HD (1366 x 768) LED Backlit Anti-Glare Display/ 500GB SATA Hard Drive/ 4GB DDR4 SDRAM Memory/ 720p Webcam/ AMD Radeon RX 550 With 2GB Memory/ Bluetooth 4.1/ Windows 10 Pro 64-Bit/ Black Finish	1.92651E+11			603.7	USD
abt_55	cluster_22562	12	Lenovo Flex 6 14.0in Onyx Black 2-In-1 Laptop Computer	Lenovo	1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 14.0in (1920 x 1080) Touchscreen Display/ 256GB SSD/ 8GB DDR4-2400MHz Memory/ NVIDIA GeForce MX130 With 2GB GDDR5 Memory/ Backlit Keyboard/ 802.11ac/ Bluetooth 4.1/ Dolby Audio Premium / 6MB Cache/ Windows 10 Home 64-Bit/ Onyx Black Finish	1.92331E+11			864	USD
abt_63	cluster_22303	7	Asus ROG Strix GL703 Black Gaming Laptop Computer	ASUS	2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 17.3in FHD (1920x1080) Matte 120Hz LED Backlit Display/ 256GB NVMe/PCIE SSD + 1TB SSHD (8GB Cache) FireCuda/ 16GB DDR4-2666MHz Memory/ NVIDIA GTX1060 With 6GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1/ HD Web Camera/ Windows 10 64-Bit/ Black Finish	8.8935E+11			1599	USD
abt_70	cluster_22287	6	MSI GS63VR Stealth Pro-674 Aluminum Black Gaming Laptop Computer	MSI	2.80GHz (Turbo Boost Up To 3.80Ghz) Intel Core i7-7700HQ Processor/ 15.6in (1920x1080) LED Backlit Display/ 16GB DDR4 2400MHz Memory/ 128GB M.2 SATA + 1TB 5400rpm Hard Drive/ NVIDIA GeForce GTX1060 With 6GB GDDR5 Memory/ Killer Gaming Network E2500/ 1080p Webcam/ Bluetooth 4.1/ Backlit Keyboard/ Windows 10 64-Bit/ Aluminum Black Finish	8.24142E+11				
abt_82	cluster_22512	8	HP EliteBook X360 1030 G2 Silver Notebook Computer	HP	Iconic Elite Design/ Take It For A Spin/ Superb Protection/ Creativity And Collaboration Go Hand-In-Hand/ Keep Visual Hackers In The Dark/ Self-Healing Safeguard/ Charge Fast/ Easy Connections/ Easy Connections/ Silver Finish	1.90781E+11			1349	USD
abt_83	cluster_22386	7	HP EliteBook 840 G4 Silver Notebook Computer	HP	2.70GHz (Turbo Boost Up To 3.50GHz) Intel Core i7-7500U Processor/ 14.0in (1920x1080) Corning Gorilla Glass 4 LED Backlit Touch Screen Display/ 256GB HP Z Turbo Drive PCIe SSD/ 8GB DDR4-2133 SDRAM Memory/ 4MB Cache/ 720p HD Webcam/ SD Media Card Reader/ Audio By Bang & Olufsen/ Windows 10 Home 64-Bit/ Silver Finish	1.90781E+11			1499	USD
abt_89	cluster_22527	8	HP Chromebook Anodized Silver Laptop Computer	HP	1.60GHz (Turbo Boost Up To 2.48GHz) Intel Celeron N3060 Processor/ 11.6in (1366x768) WLED Backlit Display/ 4GB LPDDR3 Memory/ 16GB eMMC/ 2MB Cache/ Intel HD Graphics 400/ 802.11ac/ Built-In Webcam/ Chrome OS/ Anodized Silver Finish	1.9078E+11			189	USD
abt_96	cluster_22519	10	HP Pavilion Ceramic White Laptop Computer	HP	1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 15.6in (1920x1080) LED Backlit Touchscreen Display/ 1TB SATA Hard Drive/ 8GB DDR4 SDRAM Memory/ Intel UHD Graphics 620/ 6MB Cache/ Built-In Webcam/ Windows 10 Home 64-Bit/ Ceramic White Finish	1.92545E+11			649.99	USD
antonline_1005	cluster_22332	7	MSI GS73 STEALTH-016 VR Ready 17.3in LCD Gaming Notebook	MSI		8.24142E+11			2339.4	USD
antonline_1032	cluster_22440	8	Lenovo ThinkPad X1 Yoga 3rd Gen 20LF000JUS 14in Touchscreen LCD 2 in 1 Ultrabook	Lenovo		1.9233E+11			1680.63	USD
antonline_1047	cluster_22461	9	Asus ZenBook Flip 14 UX461UA-DS51T 14in Touchscreen LCD Notebook	Asus		8.8935E+11			899	USD
antonline_105	cluster_22516	8	HP EliteBook 850 G5 15.6in LCD Notebook	HP		1.92545E+11			1292.38	USD
antonline_1051	cluster_22266	6	Dell Latitude 7000 7490 14.1in LCD Notebook	Dell		8.84116E+11			1225.28	USD
antonline_1055	cluster_22443	9	Dell Latitude 5590 15.6in Intel Core i7 8th Gen LCD Notebook	Dell		8.84116E+11			1378.02	USD
antonline_1060	cluster_22461	9	Dell Latitude 5490 14in LCD Notebook	Dell		8.84116E+11			981.48	USD
antonline_1061	cluster_22219	6	Dell Latitude 5490 14in LCD Notebook	Dell		8.84116E+11			795.03	USD
antonline_1062	cluster_22217	6	Lenovo ThinkPad X380 Yoga 20LH0018US 13.3in Touchscreen LCD 2 in 1 Notebook	Lenovo		1.9233E+11			1804.81	USD
antonline_1073	cluster_21682	6	Lenovo IdeaPad Flex 5-1570 81CA0007US 15.6in Touchscreen LCD 2 in 1 Notebook	Lenovo		1.91999E+11			740.37	USD
antonline_1074	cluster_22287	6	MSI GS63VR Stealth Pro-674 15.6in LCD Gaming Notebook	MSI		8.24142E+11			1498.22	USD
antonline_1090	cluster_22443	9	Dell Inspiron 15 7000 15-7577 15.6in Intel Core i5 8 GB DDR4 SDRAM NVIDIA GeForce GTX 1060 with 6 GB GDDR5 LCD Gaming Notebook	Dell		8.84116E+11			1099	USD
antonline_1101	cluster_22161	8	Asus VivoBook F542UA-DH71 15.6in LCD Notebook	Asus		8.8935E+11			839.72	USD
antonline_1104	cluster_22597	11	Asus ZenBook 3 Deluxe UX490UA-XH74-BL 14in LCD Notebook	Asus		8.8935E+11				
antonline_1113	cluster_22561	9	Asus ZenBook Pro UX550VE-DB71T 15.6in Touchscreen LCD Notebook	Asus		8.8935E+11			1699	USD
antonline_1114	cluster_22378	7	Acer Aspire A517-51-568Y 17.3in LCD Notebook	Acer		1.91114E+11			583.11	USD
antonline_1126	cluster_22294	6	Asus Chromebook Flip C213SA-YS02 11.6in Touchscreen LCD 2 in 1 Chromebook	Asus		8.8935E+11			381.38	USD
antonline_1146	cluster_22508	8	Lenovo ThinkPad P71 20HK0013US 17.3in LCD Mobile Workstation	Lenovo		1.91377E+11			1401.63	USD
antonline_1156	cluster_21947	6	Lenovo IdeaPad 320S-15IKB 80X50002US 15.6in LCD Notebook	Lenovo		1.91376E+11			648.17	USD
antonline_1157	cluster_21909	7	Lenovo IdeaPad 320S-15IKB 15.6in LCD Notebook	Lenovo		1.91376E+11			672.78	USD
antonline_1171	cluster_22237	6	Dell Latitude 14 7000 14	Dell		8.84116E+11			1259.99	USD
antonline_1189	cluster_22083	6	Asus Chromebook Flip C302CA-DHM4 12.5in Touchscreen LCD 2 in 1 Chromebook	Asus		8.89349E+11			527.9	USD
antonline_119	cluster_22602	14	HP EliteBook 840 G4 14in LCD Notebook	HP		1.90781E+11			1144.37	USD
antonline_1192	cluster_22325	7	Asus Transformer Book T101HA-C4-GR 10.1in Touchscreen 2 in 1 Notebook	Asus		8.8935E+11			324.48	USD
antonline_1198	cluster_22575	10	Asus Chromebook C202SA-YS02 11.6in Chromebook	Asus		8.89349E+11			255.61	USD
antonline_1205	cluster_22171	6	Acer C910-3916 15.6in LCD Chromebook	Acer		8.88863E+11			451.77	USD
antonline_122	cluster_22527	8	HP 11.6in Chromebook Intel Celeron N3060 4GB RAM Silver	HP		1.9078E+11			209.99	USD
antonline_150	cluster_22160	6	HP ZBook 15v G5 15.6in Touchscreen LCD Mobile Workstation	HP		1.92546E+11			1365.34	USD
antonline_153	cluster_22174	6	HP ZBook 15 G5 15.6in Touchscreen LCD Mobile Workstation	HP		1.92546E+11			2022.99	USD
antonline_158	cluster_22519	10	HP Pavilion 15.6in IPS Laptop Intel Core i5 (8th Gen) Quad Core 8GB RAM 1TB HDD Ceramic White	HP		1.92545E+11			649.99	USD
antonline_161	cluster_22512	8	HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook	HP		1.90781E+11			1238.66	USD
antonline_162	cluster_22204	6	HP ZBook 15u G3 15.6in Mobile Workstation	HP		8.89895E+11			1048.88	USD
antonline_174	cluster_22562	12	HP ProBook x360 440 G1 14in Touchscreen LCD 2 in 1 Notebook	HP		1.92546E+11			1000.28	USD
antonline_178	cluster_22541	9	HP EliteBook 745 G5 14in LCD Notebook	HP		1.92546E+11			1144.05	USD
antonline_179	cluster_22560	9	HP EliteBook 745 G5 14in LCD Notebook	HP		1.92546E+11			1189.94	USD
antonline_18	cluster_22402	7	Alienware 17 R5 VR Ready 17.3in LCD Gaming Notebook Intel Core i7 (8th Gen) 8GB 1TB HDD 256GB SSD IPS Silver	Dell		8.84116E+11			1559	USD
antonline_184	cluster_22586	10	HP EliteBook 840 G5 14in LCD Notebook	HP		1.92545E+11			1395.28	USD
antonline_186	cluster_22467	8	HP EliteBook x360 1020 G2 12.5in Touchscreen LCD 2 in 1 Notebook	HP		1.92018E+11			1940.93	USD
antonline_197	cluster_22105	8	HP ProBook x360 440 G1 14in Touchscreen LCD 2 in 1 Notebook	HP		1.92546E+11			784.26	USD
antonline_198	cluster_21494	10	HP ProBook 645 G4 14in LCD Notebook	HP		1.93015E+11			839.14	USD
antonline_200	cluster_22268	6	HP ProBook 645 G4 14in LCD Notebook	HP		1.92546E+11			852.43	USD
antonline_204	cluster_22286	6	HP Pavilion 15.6in Laptop Intel Core i3 8GB RAM 1TB HDD Silver	HP		1.92545E+11			599.99	USD
antonline_206	cluster_22605	20	HP Pavilion Gaming 15-cx0000 15-cx0030nr 15.6in LCD Gaming Notebook	HP		1.92545E+11			892.99	USD
antonline_213	cluster_22519	10	HP ProBook 450 G3 15.6in LCD Notebook Intel Core i5 8GB RAM 500 GB HDD Black	HP		1.92018E+11			887.37	USD
antonline_215	cluster_22191	6	HP ZBook 14u G5 14in LCD Mobile Workstation	HP		1.92545E+11			1375.73	USD
antonline_221	cluster_22139	6	HP EliteBook 1040 G4 14in LCD Notebook	HP		1.92018E+11			1571.15	USD
antonline_225	cluster_22238	6	HP EliteBook 1040 G3 14in Notebook	HP		1.90781E+11			1256.14	USD
antonline_227	cluster_22288	7	HP EliteBook 850 G3 15.6in Notebook	HP		8.89895E+11			1331.55	USD
antonline_239	cluster_22258	6	HP EliteBook 745 G5 14in Touchscreen LCD Notebook	HP		1.92546E+11			1357.05	USD
antonline_249	cluster_22134	6	HP ZBook 14u G5 14in Touchscreen LCD Mobile Workstation	HP		1.92545E+11			1676.48	USD
antonline_260	cluster_22523	11	HP OMEN X 17.3in LCD Notebook Intel Core i7 16GB RAM 1TB HDD 256GB SSD	HP		1.92018E+11			2299.99	USD
antonline_261	cluster_22578	14	HP EliteBook 1040 G4 14in Touchscreen LCD Notebook	HP		1.92018E+11			1818.59	USD
antonline_266	cluster_22165	6	HP ZBook 17 G4 17.3in LCD Mobile Workstation	HP		1.90782E+11			2331.23	USD
antonline_277	cluster_22267	8	HP Pavilion x360 2 in 1 15.6in IPS Touch Screen Laptop Intel Core i3 (8th Gen) 8GB RAM 1TB HDD Gold and Silver	HP		1.92545E+11			669.99	USD
antonline_283	cluster_22304	7	HP EliteBook 755 G5 15.6in LCD Notebook	HP		1.92546E+11			1174.35	USD
antonline_285	cluster_22433	7	HP Pavilion Gaming 15.6in IPS Laptop Intel Core i5 (8th Gen) Quad Core 8GB RAM NVIDIA GeForce GTX 1050 Ti 1TB HDD Black and Acid Green	HP		1.92545E+11			879.99	USD
antonline_286	cluster_22363	8	HP 15-db0000 15-db0040nr 15.6in Touchscreen LCD Notebook	HP		1.92545E+11			629.99	USD
antonline_288	cluster_22104	6	HP Pavilion x360 2 in1 15.6in IPS Touch Screen Laptop Intel Core i5 (8th Gen) 8GB RAM 256GB SSD Silver	HP		1.92545E+11			789.99	USD
antonline_291	cluster_22152	6	HP ZBook 14u G5 14in Touchscreen LCD Mobile Workstation	HP		1.92545E+11			1573.8	USD
antonline_292	cluster_22274	9	HP Envy 13.3in Touch Screen Laptop Intel Core i7 (8th Gen) 8GB RAM 256GB SSD Silver	HP		1.92545E+11			1029.99	USD
antonline_293	cluster_22520	18	HP Pavilion x360 2 in 1 14in Laptop Intel Core i5 8GB RAM 256GB SSD Silver	HP		1.92545E+11			729.99	USD
antonline_321	cluster_22333	7	HP EliteBook 1040 G4 14in LCD Notebook	HP		1.92018E+11			1579.99	USD
antonline_323	cluster_22291	6	HP ProBook 450 G5 15.6in LCD Notebook	HP		1.91629E+11			840.43	USD
antonline_324	cluster_22043	7	HP ProBook 470 G5 17.3in LCD Notebook	HP		1.92018E+11			1129.99	USD
antonline_326	cluster_22267	8	HP ProBook 470 G5 17.3in LCD Notebook	HP		1.91629E+11			802.74	USD
antonline_327	cluster_22563	10	HP ZBook 14u G4 14in Touchscreen LCD Mobile Workstation	HP		1.91629E+11			1419.17	USD
antonline_340	cluster_22524	8	HP ZBook 15 G4 15.6in LCD Mobile Workstation	HP		1.90782E+11			1979.86	USD
antonline_341	cluster_22537	9	HP ZBook Studio G4 15.6in LCD Mobile Workstation	HP		1.90782E+11			1629.99	USD
antonline_343	cluster_22298	7	HP EliteBook 850 G4 15.6in LCD Notebook	HP		1.90781E+11			1310.93	USD
antonline_344	cluster_21884	7	HP ProBook 650 G2	HP		1.90782E+11			873.68	USD
antonline_345	cluster_22386	7	HP EliteBook 840 G4 14in Touchscreen LCD Notebook	HP		1.90781E+11			1497.79	USD
antonline_351	cluster_22520	18	HP ProBook 650 G3	HP		1.90781E+11			812.99	USD
antonline_354	cluster_22536	9	HP EliteBook 840 G4	HP		1.90781E+11			1829.99	USD
antonline_362	cluster_22484	8	HP EliteBook 1040 G3 14in Notebook	HP		8.89899E+11			1330.98	USD
antonline_365	cluster_22359	10	HP EliteBook 830 G5 13.3in LCD Notebook	HP		1.92545E+11			1550.79	USD
antonline_369	cluster_22193	7	HP EliteBook 1040 G4 14in Touchscreen LCD Notebook	HP		1.92018E+11			2040.82	USD
antonline_377	cluster_21996	7	HP ProBook 440 G5 14in Touchscreen LCD Notebook	HP		1.91629E+11			913.6	USD
antonline_379	cluster_22359	10	HP EliteBook x360 1020 G2 12.5in Touchscreen LCD 2 in 1 Notebook	HP		1.92018E+11			1858.18	USD
antonline_385	cluster_22346	7	HP 250 G6 15.6in LCD Notebook	HP		1.90782E+11			699.77	USD
antonline_388	cluster_22538	9	HP 250 G6 15.6in LCD Notebook	HP		1.90782E+11			528.64	USD
antonline_389	cluster_22208	6	HP ZBook 17 G4 17.3in LCD Mobile Workstation	HP		1.90782E+11			2131.14	USD
antonline_394	cluster_22265	6	HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook	HP		1.90782E+11			1793.54	USD
antonline_395	cluster_22252	6	HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook	HP		1.90782E+11			1617.99	USD
antonline_402	cluster_21982	6	HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook	HP		1.90781E+11			1907.13	USD
antonline_412	cluster_22371	7	HP ProBook 645 G3	HP		1.90781E+11			1727.56	USD
antonline_413	cluster_22511	9	HP EliteBook 850 G4	HP		1.90781E+11			1106.12	USD
antonline_420	cluster_22596	11	HP ZBook 15 G3 15.6in Mobile Workstation	HP		8.89899E+11			1472	USD
antonline_427	cluster_22351	14	HP ProBook 650 G2 15.6in Notebook	HP		8.89895E+11			1360.22	USD
antonline_428	cluster_22568	10	HP ProBook 650 G2 15.6in Notebook	HP		8.89895E+11			1119.99	USD
antonline_430	cluster_22279	8	HP EliteBook 850 G3 15.6in Notebook	HP		8.89895E+11			1549.99	USD
antonline_454	cluster_22167	6	HP ZBook 15 G3 15.6in Mobile Workstation	HP		8.89899E+11			1665.98	USD
antonline_463	cluster_22103	6	Dell Alienware 17 R5 VR Ready 17.3in LCD Gaming Notebook Intel Core i7 (8th Gen) 16 GB DDR4 SDRAM 1 TB HHD IPS Silver	Dell		8.84116E+11			1949	USD
antonline_480	cluster_22520	18	Lenovo IdeaPad 730S-13IWL 81JB0004US 13.3in LCD Notebook	Lenovo		1.93125E+11			1041.11	USD
antonline_521	cluster_22164	7	Lenovo ThinkPad E485 20KU001KUS 14in LCD Notebook	Lenovo		1.92651E+11			730.8	USD
antonline_527	cluster_21494	10	Lenovo ThinkPad E580 20KS008JUS 15.6in LCD Notebook	Lenovo		1.92651E+11			592	USD
antonline_530	cluster_22605	20	Acer TravelMate P2 P2510-G2-M TMP2510-G2-M-891A 15.6in LCD Notebook	Acer		1.91115E+11			1054.18	USD
antonline_535	cluster_21494	10	Lenovo IdeaPad 330-15ARR 81D200AMUS 15.6in LCD Notebook	Lenovo		1.93124E+11			751.3	USD
antonline_541	cluster_22274	9	Lenovo IdeaPad 720S-15IKB 81AC003EUS 15.6in LCD Notebook	Lenovo		1.93125E+11			1190.69	USD
antonline_548	cluster_22105	8	Lenovo IdeaPad Flex 6-14ARR 81HA0009US 14in Touchscreen LCD 2 in 1 Notebook	Lenovo		1.92563E+11			635.8	USD
antonline_554	cluster_21909	7	Acer Switch 5 SW512-52P-35RA 12in Touchscreen LCD 2 in 1 Notebook	Acer		1.91115E+11			767.68	USD
antonline_56	cluster_22496	9	HP ProBook 450 G5 15.6in LCD Notebook	HP		1.93016E+11			777.36	USD
antonline_565	cluster_22218	6	Dell XPS 9570 15.6in Intel Core i5 (8th Gen) LCD Notebook 8GB 128GB SSD	Dell		8.84116E+11			1601.33	USD
antonline_571	cluster_22517	11	Asus VivoBook Flip 14 TP412UA-DB51T 14in Touchscreen LCD Notebook	Asus		1.92876E+11			788.3	USD
antonline_575	cluster_22333	7	Lenovo ThinkPad T480s 20L7005FUS 14in LCD Notebook	Lenovo		1.93125E+11			1766.03	USD
antonline_587	cluster_22468	13	Lenovo IdeaPad 330-15IKB 81DE01M2US 15.6in LCD Notebook	Lenovo		1.93125E+11			677.76	USD
antonline_594	cluster_22468	13	Lenovo IdeaPad 530S-14IKB 81EU0008US 14in LCD Notebook	Lenovo		1.9233E+11			814.3	USD
antonline_618	cluster_22515	8	ASUS ROG Zephyrus M GM501	Asus		8.8935E+11			2199	USD
antonline_619	cluster_22250	6	Dell Inspiron 15-5000 15 5570 15.6in LCD Notebook	Dell		8.84116E+11			664.43	USD
antonline_630	cluster_22559	14	Lenovo ThinkPad T480 20L5004HUS 14in LCD Notebook	Lenovo		1.92331E+11			912.08	USD
antonline_636	cluster_22440	8	Lenovo ThinkPad T580 20L9001KUS 15.6in LCD Notebook	Lenovo		1.92159E+11			1438.02	USD
antonline_637	cluster_22578	14	Lenovo ThinkPad X1 Yoga 3rd Gen 20LD001GUS 14in Touchscreen LCD 2 in 1 Ultrabook	Lenovo		1.9233E+11			1587.91	USD
antonline_640	cluster_22605	20	Lenovo ThinkPad E580 20KS003SUS 15.6in LCD Notebook	Lenovo		1.92158E+11			836.09	USD
antonline_646	cluster_22188	6	Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook	Lenovo		1.92159E+11			2138.3	USD
antonline_648	cluster_22166	6	Lenovo ThinkPad X1 Carbon 6th Gen 20KH002FUS 14in LCD Ultrabook	Lenovo		1.92159E+11			2430.02	USD
antonline_652	cluster_22275	6	Lenovo ThinkPad T480s 20L70023US 14in Touchscreen LCD Notebook	Lenovo		1.92159E+11			1661.65	USD
antonline_654	cluster_22603	14	Lenovo ThinkPad T480 20L5000UUS 14in LCD Notebook	Lenovo		1.9233E+11			1431.32	USD
antonline_656	cluster_22381	7	Lenovo ThinkPad T580 20L9001MUS 15.6in LCD Notebook	Lenovo		1.92159E+11			1420.25	USD
antonline_658	cluster_22555	9	Lenovo ThinkPad T480s 20L7001YUS 14in LCD Notebook	Lenovo		1.92159E+11			2099.42	USD
antonline_663	cluster_22603	14	Lenovo ThinkPad X280 20KF0020US 12.5in Touchscreen LCD Ultrabook	Lenovo		1.92159E+11			1528.43	USD
antonline_664	cluster_22425	7	Lenovo ThinkPad X1 Yoga 3rd Gen 20LD001KUS 14in Touchscreen LCD 2 in 1 Ultrabook	Lenovo		1.9233E+11			1768.61	USD
antonline_691	cluster_22602	14	Lenovo Legion Y730-17ICH 81HG001HUS 17.3in LCD Gaming Notebook	Lenovo		1.93125E+11			1374.81	USD
antonline_692	cluster_22363	8	Lenovo IdeaPad Flex 6-14IKB 81EM0011US 14in Touchscreen LCD 2 in 1 Notebook	Lenovo		1.92652E+11			774	USD
antonline_698	cluster_21902	7	Asus Vivobook S S530UA-DB51-RD 15.6in LCD Notebook	Asus		8.8935E+11			744.2	USD
antonline_703	cluster_22043	7	Lenovo IdeaPad 330-15ICH 81FK009UUS 15.6in LCD Notebook	Lenovo		1.93124E+11			956.8	USD
antonline_706	cluster_22496	9	Lenovo IdeaPad 330 Touch-15ARR 81D30001US 15.6in Touchscreen LCD Notebook	Lenovo		1.92331E+11			625.48	USD
antonline_707	cluster_22587	13	Lenovo IdeaPad 330 Touch-15IKB 81DJ0000US 15.6in Touchscreen LCD Notebook	Lenovo		1.9233E+11			1067.71	USD
antonline_716	cluster_22175	6	Acer Swift 5 SF514-52TP-52LH 14in Touchscreen LCD Notebook	Acer		1.91115E+11			973.88	USD
